,Image,Acc,F1,Jaccard,Recall,Precision,AUC ROC
19,04_test_1,0.9485397338867188,0.5724247226624405,0.40097690941385433,0.9247311827956989,0.4145053936194629,0.9370960562938987
20,04_test_2,0.9491615295410156,0.5741220081168312,0.40264455401165394,0.9200122900450635,0.41725114961215104,0.935150768209789
21,04_test_3,0.9457435607910156,0.545547496565166,0.3750878734622144,0.8714781543487138,0.3970512999395377,0.9100523271307662
22,04_test_4,0.9437980651855469,0.5792615015563869,0.4077185929648241,0.9087813620071684,0.4251163180617848,0.9270682222014296
23,04_test_5,0.9422569274902344,0.49965292698244795,0.333024895351399,0.9336627547869055,0.3410957667659536,0.9380967632048512
24,05_test_0,0.9561347961425781,0.5929413430563913,0.4214048505585187,0.8881230116648993,0.4450289600935225,0.9233978306897982
25,05_test_1,0.9550552368164062,0.5885311168540895,0.4169635787806809,0.8924902023090774,0.4390142239358099,0.9249414363781016
26,05_test_2,0.95550537109375,0.5890642615558062,0.4174990011985617,0.8865323435843054,0.4410678484752559,0.9223057184733813
27,05_test_3,0.9548187255859375,0.5358934169278997,0.36602076865431965,0.811439420908983,0.4000468027847657,0.8855101856690022
28,05_test_4,0.9592552185058594,0.5596008741186658,0.3885040361825156,0.8658925609289269,0.4133771929824561,0.9140124721147129
29,05_test_5,0.9585456848144531,0.5383013977992097,0.36827113126380656,0.8711496149614961,0.3894866277282508,0.9160944408653491
30,06_test_0,0.9514617919921875,0.5698735717666149,0.3984777572921099,0.8744683058408549,0.4226545655117084,0.9144346043966358
31,06_test_1,0.9528770446777344,0.5741079124288916,0.40263068813772424,0.8636929460580913,0.4299509424218952,0.9099874133705849
32,06_test_2,0.9521446228027344,0.5744428237050104,0.40296021321149816,0.8784106235086627,0.4267641129032258,0.9166849656225714
33,06_test_3,0.9503517150878906,0.5253291513184288,0.35623485185734777,0.7911677468966275,0.3932081240445512,0.8736230054466855
34,06_test_4,0.952484130859375,0.5580157547370662,0.38697770559574785,0.8478542160879879,0.4158557224455257,0.902087823035887
35,06_test_5,0.9556922912597656,0.5544516475507308,0.38355800870395923,0.8720888138047544,0.4064222247216286,0.9152551436557462
36,07_test_0,0.94842529296875,0.552347526653864,0.3815470472530991,0.9012425715829282,0.39819544564854154,0.925697307287061
37,07_test_1,0.9498825073242188,0.556867242309768,0.38587388398074135,0.8921430887279801,0.404756067663643,0.9220691085319517
38,07_test_2,0.9489669799804688,0.5535904965296317,0.3827342776726803,0.8962722852512156,0.40047313281514024,0.9235838687030569
39,07_test_3,0.9457435607910156,0.5066426168094627,0.33926414568428875,0.8398114075436982,0.36273779367208064,0.8945947918688157
40,07_test_4,0.9555702209472656,0.5417273263820578,0.3714856186930009,0.8772779406142475,0.3918488160291439,0.9176320374687498
41,07_test_5,0.938690185546875,0.48244992593546726,0.31791367822433475,0.5871609970214767,0.40943375601224313,0.7719172936796733
42,08_test_0,0.9535789489746094,0.5540040315191497,0.38312972068738277,0.8550741034053626,0.4097365282446059,0.9060451743216584
43,08_test_1,0.9548110961914062,0.5587424569768308,0.3876770391812261,0.8504365574328155,0.41604260276252286,0.9044406215566329
44,08_test_2,0.9530715942382812,0.5513821019619284,0.3806263216191723,0.8553003733454011,0.4068234407792068,0.9058918321198887
45,08_test_3,0.9505615234375,0.4895226091066646,0.32408469802858036,0.7524824412690724,0.3627553998832458,0.8547433830223796
46,08_test_4,0.9532012939453125,0.5509845545714077,0.38024753725688304,0.8350343909474152,0.4111317456849465,0.8962218136540893
47,08_test_5,0.9521942138671875,0.46790081521739124,0.3053985145770979,0.8462601750883121,0.3233378322868376,0.900576270157512
48,09_test_0,0.96002197265625,0.5595528284441454,0.38845772305537724,0.8469465648854961,0.41778586670013806,0.9052318673320844
49,09_test_1,0.9591484069824219,0.555292554295918,0.3843633227939063,0.8499872870582252,0.41233425840271354,0.9062562773393519
50,09_test_2,0.9595184326171875,0.5539677202420982,0.3830949889547727,0.8384223918575063,0.41363293999497863,0.9008419709676861
51,09_test_3,0.9594497680664062,0.5084620364376214,0.34089781746031744,0.7308254685630733,0.3898461320286464,0.8485150706952652
52,09_test_4,0.9544258117675781,0.5713157989163588,0.39988949166164356,0.8010666130006038,0.4439796999609615,0.880767718052763
53,09_test_5,0.9559249877929688,0.4344037595457216,0.27746857607404163,0.8290358744394619,0.2943088352348103,0.8938027280231827
54,10_test_0,0.9509124755859375,0.5367557059543523,0.36682576391280813,0.9221919841662544,0.3785416878237027,0.9370091622004224
55,10_test_1,0.9518623352050781,0.5402746912455827,0.37012079464909653,0.9172439386442355,0.3829073069971598,0.9351039027236765
56,10_test_2,0.9500694274902344,0.5318502092349512,0.3622588189436757,0.919717961405245,0.3740880503144654,0.9353765749716929
57,10_test_3,0.9491615295410156,0.49386654513691086,0.3279035755711332,0.8642828658779742,0.3457039557635049,0.9079761048631411
58,10_test_4,0.9544258117675781,0.5069132031862644,0.33950685537372843,0.9096430158495038,0.35135599038791626,0.9326263028878089
59,10_test_5,0.954803466796875,0.4696983260227374,0.30693185141854346,0.9048111743404035,0.31717342682705674,0.9303727798207313
60,11_test_0,0.9437599182128906,0.5208489063667977,0.35212691158375814,0.9415981198589894,0.3599892178444674,0.9427152856721002
61,11_test_1,0.9432029724121094,0.5183891314895681,0.3498821063662562,0.9432607416127133,0.35740410347903656,0.943230889633555
62,11_test_2,0.9435882568359375,0.5210829716950579,0.35234091008627866,0.945358401880141,0.3596655937052933,0.9444436331534173
63,11_test_3,0.9431533813476562,0.4812003899178387,0.31682941365240913,0.887732819524727,0.33005396628301253,0.9162912109292182
64,11_test_4,0.9425201416015625,0.5223785976924052,0.3535266861163549,0.9148440102142777,0.36555609777738346,0.9291744553613491
65,11_test_5,0.9397315979003906,0.4411192472319502,0.2829717708995189,0.9294871794871795,0.28917953712722044,0.9347439029335864
66,12_test_0,0.9476127624511719,0.5354352017861371,0.3655933847646325,0.9055956059045658,0.38007876284698877,0.9273286922401818
67,12_test_1,0.9466400146484375,0.5334845250800426,0.36377694896752477,0.9144751886576721,0.37658913268669364,0.9311126841085502
68,12_test_2,0.9479141235351562,0.5353253471276885,0.36549096147590504,0.89998855704314,0.3809639137805764,0.9247777279404844
69,12_test_3,0.9454765319824219,0.49285029982613626,0.3270081928618514,0.8192756871534741,0.3524307317568253,0.8844847885873217
70,12_test_4,0.9526405334472656,0.5112012283948187,0.3433648913100968,0.8797940100284591,0.36026637069922307,0.9172722331656633
71,12_test_5,0.9442138671875,0.4412776037288913,0.28310211284866904,0.899112564222326,0.29239025872107743,0.9222296253250561
72,13_test_0,0.9469985961914062,0.5612328680603802,0.3900790166812994,0.9059027423794475,0.40655167680834514,0.9272494273452313
73,13_test_1,0.9477729797363281,0.5640225456166608,0.39277952720982834,0.9020167040130372,0.41028492008339124,0.9257850297963619
74,13_test_2,0.9463882446289062,0.55679596341848,0.3858054365877109,0.8999898052808645,0.4030866170494498,0.9240908465245545
75,13_test_3,0.945648193359375,0.5227759914255091,0.35389080355523306,0.8518720663683004,0.3770959168881372,0.9004580366389278
76,13_test_4,0.9449844360351562,0.5546566205533596,0.38375421954450284,0.8651382333108564,0.4081716129618688,0.9067074928266686
77,13_test_5,0.9309959411621094,0.49092392986801003,0.3253142366938943,0.6630682682073894,0.38974038160775726,0.8041093379271413
78,14_test_0,0.9437980651855469,0.5058196088954483,0.3385264670228528,0.9433254097335169,0.34555453712190654,0.9435691699209978
79,14_test_1,0.9454917907714844,0.5127033386761245,0.3447216362469045,0.9399774915593347,0.3524805401856888,0.9428213977488035
80,14_test_2,0.9446258544921875,0.5106526429341963,0.3428700769578995,0.9475791317402728,0.34949933090305013,0.9460560531159075
81,14_test_3,0.9420433044433594,0.4696477816176214,0.30688868613138687,0.8757974222106496,0.32085280931031196,0.9099201837752218
82,14_test_4,0.9410057067871094,0.520984977543751,0.3522513089005236,0.9203326767345152,0.36333002116905,0.9310425231217694
83,14_test_5,0.9400558471679688,0.3864594721224427,0.2395102356869767,0.7048853439680958,0.2662040772416761,0.8257065486239432
84,15_test_0,0.9478683471679688,0.4851955096813079,0.32030239729434,0.9229005445686443,0.32910874897792314,0.9357258419135047
85,15_test_1,0.9470176696777344,0.48138605727941447,0.31699041062208017,0.9240252293577982,0.32547336531178994,0.9358357429708479
86,15_test_2,0.9466743469238281,0.47973501060701923,0.31556012534273403,0.9236170822585268,0.3240158865818712,0.9354609869880377
87,15_test_3,0.9454421997070312,0.43799119773656087,0.28040251572327046,0.8577805140834232,0.2940741913355496,0.9027252717299339
88,15_test_4,0.9513282775878906,0.46883976520544524,0.3061990212071778,0.8965132940614552,0.3174182638105975,0.9245935929744554
89,15_test_5,0.9458847045898438,0.4815058479532163,0.31709430510759157,0.9118217054263565,0.32712554628526025,0.929335848790379
90,16_test_0,0.9444847106933594,0.5295923974528881,0.3601670696856452,0.8983441166794605,0.37546979558162985,0.9222458652758038
91,16_test_1,0.9461212158203125,0.5357307211886135,0.36586898935931395,0.8925520262869661,0.3827259064437347,0.9203031420770599
92,16_test_2,0.9446449279785156,0.5282663112382563,0.3589415091005478,0.8909968198267354,0.37542740966638943,0.918787610585238
93,16_test_3,0.9428596496582031,0.4743288296192314,0.31089846804986887,0.8325736109400025,0.33163215232113064,0.8894786315357345
94,16_test_4,0.9364280700683594,0.5529654765417528,0.38213703099510604,0.8501319696469812,0.40973961439077716,0.8953723603134514
95,16_test_5,0.935455322265625,0.37985632605189856,0.23445842005248393,0.868588669125042,0.24308096444319355,0.9028006075445881
96,17_test_0,0.952178955078125,0.5322388059701493,0.36261948342485256,0.8239371534195934,0.39307760141093473,0.8902476273946417
97,17_test_1,0.9525222778320312,0.5317884282597246,0.36220149636158655,0.8166377816291162,0.39426563284431304,0.8868998154306164
98,17_test_2,0.9518814086914062,0.5263592670471613,0.3571828976201396,0.8097273567467652,0.38990876724521584,0.8832314906564098
99,17_test_3,0.9508285522460938,0.4711143935663877,0.30814234340615104,0.6866403540246382,0.3585659858847043,0.8230863552039237
100,17_test_4,0.9488067626953125,0.5198568872987478,0.3512206913222142,0.7761752136752137,0.3908015061861216,0.8656870593346004
101,17_test_5,0.9531288146972656,0.48887224926161643,0.32351483785718216,0.5885416666666666,0.41807186054784773,0.7780529557952622
102,18_test_0,0.9424476623535156,0.49251572538598676,0.3267136736879686,0.9037155906678188,0.33849639356389866,0.9236991765174098
103,18_test_1,0.9450225830078125,0.5052183466080747,0.33798805695911804,0.907051282051282,0.350114198705748,0.9266432010180828
104,18_test_2,0.9435882568359375,0.49905149051490516,0.33249074659203753,0.9092704604369831,0.34390027545637053,0.92697652677065
105,18_test_3,0.9420051574707031,0.44223502219613314,0.28389072067828547,0.8085591628655755,0.30434782608695654,0.8772349389262111
106,18_test_4,0.9363555908203125,0.5063613231552162,0.3390119250425894,0.8611250880547449,0.35861866644314994,0.900222386934191
107,18_test_5,0.9377365112304688,0.4976609626985103,0.33125742614823617,0.9002338269680437,0.3438815873420952,0.9196503761148171
